user_id,assignment_date,treatment,assigned_on_platform,time_zone,paid_plan_canceled,paid_signup_date
2NITIAY,2023-07-08,0,web,CST,0,
LHYKSP1,2023-07-14,0,web,CST,0,
WHNWGE0,2023-06-13,1,web,EST,0,
1RMU6EA,2023-06-09,1,web,EST,0,
P75ZN08,2023-06-10,0,web,HST,0,
S3VBF13,2023-06-12,0,web,PST,0,
KRSS9DI,2023-06-06,0,web,EST,0,
P5K4BXX,2023-06-16,0,web,CST,0,
4EZUCXD,2023-06-01,0,web,PST,0,
5DW38DO,2023-06-17,0,web,CST,0,
PVHVD9T,2023-06-02,0,web,CST,0,
PTKHSJA,2023-06-13,0,web,CST,0,
IVMU9CL,2023-06-08,1,web,PST,0,
RRGOARE,2023-07-16,0,web,CST,0,2023-07-26
8W2GGRV,2023-07-31,0,ios,CST,0,
8KALCTX,2023-06-07,0,web,MST,0,
48MD34N,2023-06-26,1,web,EST,0,2023-06-28
FZQK9W6,2023-07-21,1,ios,EST,0,
LLGA2U3,2023-06-21,0,web,EST,0,
O08GKU7,2023-07-08,0,web,CST,0,
CNS3NLG,2023-06-19,1,web,PST,0,
WC111E5,2023-06-21,0,web,CST,0,
3W5GAS0,2023-06-12,0,web,EST,0,
7SVNK97,2023-07-31,0,web,PST,0,
OKEVPCU,2023-07-13,0,web,EST,0,
25F2H5H,2023-06-29,1,web,CST,0,
844MBE3,2023-06-30,0,web,EST,0,
EDN0M4O,2023-06-15,1,web,EST,0,
DS327KD,2023-07-21,1,web,EST,0,
QZB5OLH,2023-06-05,1,web,CST,0,
E1DDGKK,2023-06-24,0,web,MST,0,
YS68OK3,2023-06-24,0,web,EST,0,
AZ2NBMX,2023-07-12,1,ios,CST,0,
TLEYPW8,2023-07-20,0,web,CST,0,
MZVETUQ,2023-07-26,0,ios,EST,0,
H2ZHSKL,2023-07-01,0,web,CST,0,
BCR5P8G,2023-07-03,0,web,PST,0,
61FPF2W,2023-06-23,1,web,EST,0,
99J0CI7,2023-06-14,0,web,EST,0,
GCEOD79,2023-07-12,0,web,PST,0,
MUGHTAE,2023-06-10,0,web,PST,0,
VYT63U9,2023-06-08,0,web,EST,0,
5VE98JQ,2023-06-23,0,web,EST,0,
U4P2UDG,2023-07-28,1,web,CST,0,
M7I9LOG,2023-06-02,0,web,EST,0,
8G82EFM,2023-06-01,0,web,EST,0,
UXTXOL8,2023-07-31,0,web,CST,0,
F22B01K,2023-06-18,1,web,PST,0,2023-07-12
R3Q1L5Q,2023-06-09,1,web,CST,0,
87HFD3Q,2023-06-25,1,web,EST,0,
ZURYFQ2,2023-06-14,1,web,CST,0,
Y32BHQ6,2023-07-22,0,web,MST,0,
UICC351,2023-07-18,0,web,CST,0,
V586X78,2023-07-13,1,web,CST,0,
Q7JJVIH,2023-07-28,1,ios,EST,0,
45C0MJ0,2023-06-09,0,web,EST,0,
R9YKP46,2023-07-01,1,web,CST,0,
5MBWE41,2023-06-08,1,web,EST,0,
NX03MDL,2023-06-04,0,web,CST,1,2023-06-05
IU453PG,2023-06-07,0,web,CST,0,
X0K6WQ0,2023-06-22,1,web,CST,1,2023-06-29
IMXCBQ9,2023-07-20,0,ios,EST,0,2023-07-24
2F2YIY1,2023-07-28,1,web,CST,0,
5F2GN1G,2023-06-04,0,web,EST,0,
6HGHZXB,2023-06-05,1,web,HST,0,
23L9D4N,2023-06-25,0,web,EST,0,
NASNDW1,2023-07-20,1,web,EST,0,
M76K6GC,2023-07-14,0,web,PST,1,2023-07-16
M0VHA40,2023-06-13,1,web,EST,0,
